Date,Open,High,Low,Close,Volume,Return,RVOL,MA5,MA20,TrendDiff,Trend,Support,Resistance,PricePosition,Breakout,Breakdown,Confidence,Label
2021-01-04,6800.0,6855.0,6720.0,6835.0,47937000,0.0,1.0,6835.0,6835.0,0.0,Sideways,6720.0,6855.0,0.8518518518518519,0,0,Low,Akumulasi
2021-01-05,6860.0,7090.0,6850.0,7090.0,104831000,0.03730797366495975,1.3724209258483453,6962.5,6962.5,0.0,Sideways,6720.0,7090.0,1.0,1,0,Medium,Distribusi
2021-01-06,7050.0,7075.0,6880.0,6945.0,89753500,-0.020451339915373734,1.1102541424162393,6956.666666666667,6956.666666666667,0.0,Sideways,6720.0,7090.0,0.6081081081081081,0,0,Low,Distribusi
2021-01-07,7000.0,7050.0,6910.0,6965.0,71360000,0.0028797696184306165,0.9093877785087684,6958.75,6958.75,0.0,Sideways,6720.0,7090.0,0.6621621621621622,0,0,Low,Distribusi
2021-01-08,7035.0,7080.0,6975.0,7050.0,75033500,0.012203876525484603,0.9646516591028889,6977.0,6977.0,0.0,Sideways,6720.0,7090.0,0.8918918918918919,0,0,Low,Distribusi
2021-01-11,7150.0,7360.0,7145.0,7345.0,169034500,0.04184397163120557,1.8177397775246686,7079.0,7038.333333333333,0.005777883021548706,Sideways,6720.0,7360.0,0.9765625,1,0,High,Distribusi
2021-01-12,7345.0,7380.0,7160.0,7160.0,95235000,-0.025187202178352575,1.0206075006372626,7093.0,7055.714285714285,0.005284470540595318,Sideways,6720.0,7380.0,0.6666666666666666,0,0,Low,Distribusi
2021-01-13,7245.0,7275.0,7070.0,7120.0,76581500,-0.005586592178770999,0.8395184209732983,7128.0,7063.75,0.009095735268094143,Sideways,6720.0,7380.0,0.6060606060606061,0,0,Low,Distribusi
2021-01-14,7050.0,7090.0,6995.0,7020.0,89319500,-0.014044943820224698,0.9814305100017031,7139.0,7058.888888888889,0.01134896899102789,Uptrend,6720.0,7380.0,0.45454545454545453,0,0,Low,Distribusi
2021-01-15,7095.0,7100.0,6840.0,6955.0,89853500,-0.0092592592592593,0.9885536873211513,7120.0,7048.5,0.010144002269986522,Uptrend,6720.0,7380.0,0.3560606060606061,0,0,Low,Distribusi
